k_step      t_sim  nID    Ground Truth (x,y)    Prediction   (x,y)  tID  TLost      delay_A    dalay_B
    79        781    1      74.42      65.85      73.86       66.5    0      0          0          0  
    79        781    2      74.42      65.85      73.92      65.54    0      0          0          0  
    79        781    3      74.42      65.85       74.5      65.29    0      0          0          0  
    80        791    0      74.42      65.85         74      67.18    0      0          0          0  
    80        791    1      74.42      65.85      75.41      65.27    0      0          0          0  
    80        791    2      74.42      65.85      74.38      65.83    0      0          0          0  
    80        791    3      74.42      65.85      74.32       64.9    0      0          0          0  
    81        801    0      75.34      65.28      74.58      65.86    0      0          0          0  
    81        801    1      75.34      65.28      75.55      64.35    0      0          0          0  
    81        801    2      75.34      65.28      74.03      64.78    0      0          0          0  
    81        801    3      75.34      65.28      74.99       66.1    0      0          0          0  
    82        811    0      75.34      65.28      74.93      65.52    0      0          0          0  
    82        811    1      75.34      65.28      74.69      65.54    0      0          0          0  
    82        811    2      75.34      65.28      75.09      64.69    0      0          0          0  
    82        811    3      75.34      65.28      76.62      65.17    0      0          0          0  
    83        821    0      75.97      64.76      75.34      65.27    0      0          0          0  
    83        821    1      75.97      64.76       75.8      65.43    0      0          0          0  
    83        821    2      75.97      64.76      76.36      64.87    0      0          0          0  
    83        821    3      75.97      64.76      76.11      64.85    0      0          0          0  
    84        831    0      75.97      64.76      75.88      65.58    0      0          0          0  
    84        831    1      75.97      64.76       75.6      64.92    0      0          0          0  
    84        831    2      75.97      64.76      77.27      65.48    0      0          0          0  
    84        831    3      75.97      64.76      76.12      65.07    0      0          0          0  
    85        841    0      76.95      64.39      77.66      64.59    0      0          0          0  
    85        841    1      76.95      64.39       77.5      66.29    0      0          0          0  
    85        841    2      76.95      64.39      77.15      64.02    0      0          0          0  
    85        841    3      76.95      64.39      76.87      64.18    0      0          0          0  
    86        851    0      76.95      64.39      77.63      64.62    0      0          0          0  
    86        851    1      76.95      64.39      77.03      64.57    0      0          0          0  
    86        851    2      76.95      64.39      76.37      64.42    0      0          0          0  
    86        851    3      76.95      64.39      76.56      64.11    0      0          0          0  
    87        861    0      77.77      64.11      77.56      63.79    0      0          0          0  
    87        861    1      77.77      64.11      77.42      63.96    0      0          0          0  
    87        861    2      77.77      64.11      77.78      64.53    0      0          0          0  
    87        861    3      77.77      64.11      75.67      63.41    0      0          0          0  
    88        871    0      77.77      64.11      78.59       64.6    0      0          0          0  
    88        871    1      77.77      64.11      78.82      63.41    0      0          0          0  
    88        871    2      77.77      64.11      78.21      64.61    0      0          0          0  
    88        871    3      77.77      64.11      77.63       64.2    0      0          0          0  
    89        881    0      78.63      63.55      78.53      62.08    0      0          0          0  
    89        881    1      78.63      63.55         78      63.22    0      0          0          0  
    89        881    2      78.63      63.55      78.64      63.87    0      0          0          0  
    89        881    3      78.63      63.55      78.73      63.47    0      0          0          0  
    90        891    0      78.63      63.55      78.82         64    0      0          0          0  
    90        891    1      78.63      63.55      79.01      63.53    0      0          0          0  
    90        891    2      78.63      63.55      79.55      64.39    0      0          0          0  
    90        891    3      78.63      63.55      78.27      63.58    0      0          0          0  
    91        901    0      79.36      63.06      79.55      62.68    0      0          0          0  
    91        901    1      79.36      63.06      79.05      63.29    0      0          0          0  
    91        901    2      79.36      63.06      79.36      63.93    0      0          0          0  
